,Opening,High,Low,Fenced,Volume
2013-05-21,"5,52","5,52","5,52","5,52",0
2013-05-22,"5,66","5,66","5,66","5,66",0
2013-05-23,"5,64","5,64","5,64","5,64",0
2013-05-24,"5,65","5,65","5,65","5,65",0
2013-05-27,"5,60","5,60","5,60","5,60",0
2013-05-28,"5,59","5,59","5,59","5,59",0
2013-05-29,"5,59","5,59","5,59","5,59",0
2013-05-30,"5,89","5,89","5,89","5,89",0
2013-05-31,"5,85","5,85","5,85","5,85",0
2013-06-03,"5,91","5,91","5,91","5,91",0
2013-06-04,"5,91","5,91","5,91","5,91",0
2013-06-05,"5,92","5,92","5,92","5,92",0
2013-06-06,"5,87","5,87","5,87","5,87",0
2013-06-07,"5,81","5,81","5,81","5,81",0
2013-06-10,"5,72","5,72","5,72","5,72",0
2013-06-11,"5,61","5,61","5,61","5,61",0
2013-06-12,"5,57","5,57","5,57","5,57",0
2013-06-13,"5,56","5,56","5,56","5,56",0
2013-06-14,"5,66","5,66","5,66","5,66",0
2013-06-17,"5,57","5,57","5,57","5,57",0
2013-06-18,"5,50","5,50","5,50","5,50",0
2013-06-19,"5,42","5,42","5,42","5,42",0
2013-06-20,"5,00","5,00","5,00","5,00",0
2013-06-21,"4,89","4,89","4,89","4,89",0
2013-06-24,"4,73","4,73","4,73","4,73",0
2013-06-25,"4,73","4,73","4,73","4,73",0
2013-06-26,"4,56","4,56","4,56","4,56",0
2013-06-27,"4,61","4,61","4,61","4,61",0
2013-06-28,"4,58","4,58","4,58","4,58",0
2013-07-01,"4,85","4,85","4,85","4,85",0
2013-07-02,"4,89","4,89","4,89","4,89",0
2013-07-03,"4,82","4,82","4,82","4,82",0
2013-07-04,"4,92","4,92","4,92","4,92",0
2013-07-05,"4,67","4,67","4,67","4,67",0
2013-07-08,"4,69","4,69","4,69","4,69",0
2013-07-09,"4,78","4,78","4,78","4,78",0
2013-07-10,"4,71","4,71","4,71","4,71",0
2013-07-11,"4,97","4,97","4,97","4,97",0
2013-07-12,"5,01","5,01","5,01","5,01",0
2013-07-15,"4,96","4,96","4,96","4,96",0
2013-07-16,"5,01","5,01","5,01","5,01",0
2013-07-17,"5,20","5,20","5,20","5,20",0
2013-07-18,"5,11","5,11","5,11","5,11",0
2013-07-19,"5,11","5,11","5,11","5,11",0
2013-07-22,"5,39","5,39","5,39","5,39",0
2013-07-23,"5,48","5,48","5,48","5,48",0
2013-07-24,"5,58","5,58","5,58","5,58",0
2013-07-25,"5,48","5,48","5,48","5,48",0
2013-07-26,"5,45","5,45","5,45","5,45",0
2013-07-29,"5,51","5,51","5,51","5,51",0
2013-07-30,"5,43","5,43","5,43","5,43",0
2013-07-31,"5,40","5,40","5,40","5,40",0
2013-08-01,"5,44","5,44","5,44","5,44",0
2013-08-02,"5,33","5,33","5,33","5,33",0
2013-08-05,"5,29","5,29","5,29","5,29",0
2013-08-06,"5,08","5,08","5,08","5,08",0
2013-08-07,"5,03","5,03","5,03","5,03",0
2013-08-08,"5,14","5,14","5,14","5,14",0
2013-08-09,"5,31","5,31","5,31","5,31",0
2013-08-12,"5,64","5,64","5,64","5,64",0
2013-08-13,"5,67","5,67","5,67","5,67",0
2013-08-14,"5,71","5,71","5,71","5,71",0
2013-08-16,"6,04","6,04","6,04","6,04",0
2013-08-19,"5,96","5,96","5,96","5,96",0
2013-08-20,"5,98","5,98","5,98","5,98",0
2013-08-21,"5,96","5,96","5,96","5,96",0
2013-08-22,"5,93","5,93","5,93","5,93",0
2013-08-23,"5,96","5,96","5,96","5,96",0
2013-08-26,"6,12","6,12","6,12","6,12",0
2013-08-27,"6,20","6,20","6,20","6,20",0
2013-08-28,"6,00","6,00","6,00","6,00",0
2013-08-29,"5,83","5,83","5,83","5,83",0
2013-08-30,"5,81","5,81","5,81","5,81",0
2013-09-02,"5,82","5,82","5,82","5,82",0
2013-09-03,"5,90","5,90","5,90","5,90",0
2013-09-04,"5,83","5,83","5,83","5,83",0
2013-09-05,"5,83","5,83","5,83","5,83",0
2013-09-06,"5,81","5,81","5,81","5,81",0
2013-09-09,"5,81","5,81","5,81","5,81",0
2013-09-10,"5,65","5,65","5,65","5,65",0
2013-09-11,"5,59","5,59","5,59","5,59",0
2013-09-12,"5,44","5,44","5,44","5,44",0
2013-09-13,"5,41","5,41","5,41","5,41",0
2013-09-16,"5,43","5,43","5,43","5,43",0
2013-09-17,"5,39","5,39","5,39","5,39",0
2013-09-18,"5,35","5,35","5,35","5,35",0
2013-09-19,"5,77","5,77","5,77","5,77",0
2013-09-20,"5,54","5,54","5,54","5,54",0
2013-09-23,"5,40","5,40","5,40","5,40",0
2013-09-24,"5,30","5,30","5,30","5,30",0
2013-09-25,"5,34","5,34","5,34","5,34",0
2013-09-26,"5,39","5,39","5,39","5,39",0
2013-09-27,"5,36","5,36","5,36","5,36",0
2013-09-30,"5,27","5,27","5,27","5,27",0
2013-10-01,"5,18","5,18","5,18","5,18",0
2013-10-02,"5,21","5,21","5,21","5,21",0
2013-10-03,"5,19","5,19","5,19","5,19",0
2013-10-04,"5,12","5,12","5,12","5,12",0
2013-10-07,"5,14","5,14","5,14","5,14",0
2013-10-08,"5,16","5,16","5,16","5,16",0
2013-10-09,"4,99","4,99","4,99","4,99",0
2013-10-10,"5,03","5,03","5,03","5,03",0
2013-10-11,"4,93","4,93","4,93","4,93",0
2013-10-14,"4,93","4,93","4,93","4,93",0
2013-10-15,"4,93","4,93","4,93","4,93",0
2013-10-16,"4,96","4,96","4,96","4,96",0
2013-10-17,"5,12","5,12","5,12","5,12",0
2013-10-18,"5,19","5,19","5,19","5,19",0
2013-10-21,"5,20","5,20","5,20","5,20",0
2013-10-22,"5,34","5,34","5,34","5,34",0
2013-10-23,"5,38","5,38","5,38","5,38",0
2013-10-24,"5,39","5,39","5,39","5,39",0
2013-10-25,"5,42","5,42","5,42","5,42",0
2013-10-28,"5,52","5,52","5,52","5,52",0
2013-10-29,"5,46","5,46","5,46","5,46",0
2013-10-30,"5,45","5,45","5,45","5,45",0
2013-10-31,"5,29","5,29","5,29","5,29",0
2013-11-04,"5,21","5,21","5,21","5,21",0
2013-11-05,"5,22","5,22","5,22","5,22",0
2013-11-06,"5,24","5,24","5,24","5,24",0
2013-11-07,"5,24","5,24","5,24","5,24",0
2013-11-08,"5,06","5,06","5,06","5,06",0
2013-11-11,"5,07","5,07","5,07","5,07",0
2013-11-12,"5,11","5,11","5,11","5,11",0
2013-11-13,"4,99","4,99","4,99","4,99",0
2013-11-14,"5,06","5,06","5,06","5,06",0
2013-11-15,"5,14","5,14","5,14","5,14",0
2013-11-18,"5,05","5,05","5,05","5,05",0
2013-11-19,"5,04","5,04","5,04","5,04",0
2013-11-20,"4,95","4,95","4,95","4,95",0
2013-11-21,"4,78","4,78","4,78","4,78",0
2013-11-22,"4,83","4,83","4,83","4,83",0
2013-11-25,"4,71","4,71","4,71","4,71",0
2013-11-26,"4,66","4,66","4,66","4,66",0
2013-11-27,"4,65","4,65","4,65","4,65",0
2013-11-28,"4,69","4,69","4,69","4,69",0
2013-11-29,"4,74","4,74","4,74","4,74",0
2013-12-02,"4,64","4,64","4,64","4,64",0
2013-12-03,"4,48","4,48","4,48","4,48",0
2013-12-04,"4,48","4,48","4,48","4,48",0
2013-12-05,"4,47","4,47","4,47","4,47",0
2013-12-06,"4,51","4,51","4,51","4,51",0
2013-12-09,"4,51","4,51","4,51","4,51",0
2013-12-10,"4,70","4,70","4,70","4,70",0
2013-12-11,"4,64","4,64","4,64","4,64",0
2013-12-12,"4,43","4,43","4,43","4,43",0
2013-12-13,"4,51","4,51","4,51","4,51",0
2013-12-16,"4,51","4,51","4,51","4,51",0
2013-12-17,"4,51","4,51","4,51","4,51",0
2013-12-18,"4,52","4,52","4,52","4,52",0
2013-12-19,"4,39","4,39","4,39","4,39",0
2013-12-20,"4,41","4,41","4,41","4,41",0
2013-12-23,"4,44","4,44","4,44","4,44",0
2013-12-27,"4,59","4,59","4,59","4,59",0
2013-12-30,"4,59","4,59","4,59","4,59",0
2013-12-31,"4,57","4,57","4,57","4,57",0
2014-01-02,"4,77","4,77","4,77","4,77",0
2014-01-03,"4,75","4,75","4,75","4,75",0
2014-01-06,"4,72","4,72","4,72","4,72",0
2014-01-07,"4,64","4,64","4,64","4,64",0
2014-01-08,"4,61","4,61","4,61","4,61",0
2014-01-09,"4,57","4,57","4,57","4,57",0
2014-01-10,"4,64","4,64","4,64","4,64",0
2014-01-13,"4,69","4,69","4,69","4,69",0
2014-01-14,"4,76","4,76","4,76","4,76",0
2014-01-15,"4,68","4,68","4,68","4,68",0
2014-01-16,"4,77","4,77","4,77","4,77",0
2014-01-17,"4,86","4,86","4,86","4,86",0
2014-01-20,"4,98","4,98","4,98","4,98",0
2014-01-21,"4,93","4,93","4,93","4,93",0
2014-01-22,"4,94","4,94","4,94","4,94",0
2014-01-23,"5,00","5,00","5,00","5,00",0
2014-01-24,"5,01","5,01","5,01","5,01",0
2014-01-27,"4,93","4,93","4,93","4,93",0
2014-01-28,"4,84","4,84","4,84","4,84",0
2014-01-29,"4,96","4,96","4,96","4,96",0
2014-01-30,"4,91","4,91","4,91","4,91",0
2014-01-31,"4,94","4,94","4,94","4,94",0
2014-02-03,"4,97","4,97","4,97","4,97",0
2014-02-04,"4,92","4,92","4,92","4,92",0
2014-02-05,"5,00","5,00","5,00","5,00",0
2014-02-06,"4,95","4,95","4,95","4,95",0
2014-02-07,"5,00","5,00","5,00","5,00",0
2014-02-10,"5,20","5,20","5,20","5,20",0
2014-02-11,"5,32","5,32","5,32","5,32",0
2014-02-12,"5,40","5,40","5,40","5,40",0
2014-02-13,"5,36","5,36","5,36","5,36",0
2014-02-14,"5,59","5,59","5,59","5,59",0
2014-02-17,"5,58","5,58","5,58","5,58",0
2014-02-18,"5,55","5,55","5,55","5,55",0
2014-02-19,"5,59","5,59","5,59","5,59",0
